objectid,park,park_no,bldg_id,bldg_name,category,bldg_type,field_house_class,status,year_built,stories,building_sqft,owner,address,ward,community,lat,lon,provenance,source
206,FRANKLIN (BENJAMIN),202,0202-01,Pool Equipment Room,pool,POOL BUILDING,,ACTIVE,,1,,CPD,1409 S KOLIN AVE,24,NORTH LAWNDALE,41.861596,-87.733284,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
207,FRANKLIN (BENJAMIN),202,0202-02,Franklin Park Fieldhouse,field_house,FIELDHOUSE A4,A4,ACTIVE,1973,1,17430,CPD,1449 S KOLIN AVE,24,NORTH LAWNDALE,41.861205,-87.733048,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
208,FULLER (MELVILLE),4,0004-01,Fuller Park Fieldhouse,field_house,FIELDHOUSE A2,A2,ACTIVE,1910,2,38498,CPD,331 W 45TH ST,3,FULLER PARK,41.812212,-87.6346,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
209,FULLER (MELVILLE),4,0004-02,Fuller Park Bath House,pool,POOL BUILDING,,ACTIVE,1910,1,7520,CPD,4500 S PRINCETON AVE,3,FULLER PARK,41.811147,-87.635406,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
210,FULLER (MELVILLE),4,0004-03,Fuller Park Power House,other,UTILITY STRUCTURE,,ACTIVE,1910,1,4160,CPD,4500 S PRINCETON AVE,3,FULLER PARK,41.812461,-87.635598,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
211,GAGE (GEORGE),22,0022-01,Boiler House,other,UTILITY STRUCTURE,,ACTIVE,1928,,3500,CPD,,15,GAGE PARK,41.792423,-87.684944,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
212,GAGE (GEORGE),22,0022-02,Gage Park Fieldhouse,field_house,FIELDHOUSE A1,A1,ACTIVE,1928,1,58960,CPD,2411 W 55TH ST,15,GAGE PARK,41.793536,-87.684976,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
213,GAGE (GEORGE),22,0022-03,Locker Building,pool,POOL BUILDING,,ACTIVE,1921,,4500,CPD,,15,GAGE PARK,41.793157,-87.68497,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
214,GALEWOOD,130,0130-01,Lakewood Park Recreation Building,field_house,FIELDHOUSE D,D,ACTIVE,1956,1,1260,CPD,5737 W BLOOMINGDALE AVE,29,AUSTIN,41.912435,-87.768984,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
215,GALEWOOD,130,0130-02,South Shelter,other,SHELTER,,ACTIVE,,1,,CPD,,29,AUSTIN,41.912354,-87.768733,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
216,GALEWOOD,130,0130-03,North Shelter,other,SHELTER,,ACTIVE,,1,,CPD,5729 W BLOOMINGDALE AVE,29,AUSTIN,41.912505,-87.768737,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
217,GARFIELD (JAMES),204,0204-02,Garfield Market,other,OTHER,,ACTIVE,,1,,CPD,350 N CENTRAL PARK DR,28,EAST GARFIELD PARK,41.887926,-87.718348,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
218,GARFIELD (JAMES),204,0204-03,Garfield Trades Yard,other,MAINTENANCE,,ACTIVE,,,,CPD,3727 W KINZIE,28,EAST GARFIELD PARK,41.887686,-87.719407,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
219,GARFIELD (JAMES),204,0204-04,Garfield Park Bandstand,other,HISTORIC,,ACTIVE,1897,1,,CPD,3700 W MUSIC CT,28,EAST GARFIELD PARK,41.879547,-87.718675,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
220,GARFIELD (JAMES),204,0204-05,Golden Dome Fieldhouse,field_house,FIELDHOUSE A1,A1,ACTIVE,1928,2,,CPD,100 N CENTRAL PARK DR,28,EAST GARFIELD PARK,41.882739,-87.716097,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
221,GARFIELD (JAMES),204,0204-06,Hamlin Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,100 N CENTRAL PARK DR,28,EAST GARFIELD PARK,41.878769,-87.720084,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
222,GARFIELD (JAMES),204,0204-08,Garfield Park Conservatory,other,CONSERVATORY,,ACTIVE,1908,1,106775,CPD,300 N CENTRAL PARK DR,28,EAST GARFIELD PARK,41.886497,-87.717763,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
223,GARFIELD (JAMES),204,0204-07,Schraeder Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,100 N CENTRAL PARK DR,28,EAST GARFIELD PARK,41.88383,-87.714069,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
224,GARFIELD (JAMES),204,0204-09,Garfield Park Power House,other,MAINTENANCE,,ACTIVE,,1,,CPD,3727 W KINZIE,28,EAST GARFIELD PARK,41.8877,-87.720213,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
225,GATELY (JAMES),244,0244-02,West Bleachers,stadium,STADIUM,,ACTIVE,,,,CPD,810 E 103RD ST,8,PULLMAN,41.708571,-87.603171,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
226,GATELY (JAMES),244,0244-03,South Locker Building,stadium,STADIUM,,ACTIVE,,,,CPD,810 E 103RD ST,8,PULLMAN,41.708069,-87.603179,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
227,GATELY (JAMES),244,0244-04,East Bleachers,stadium,STADIUM,,ACTIVE,,,,CPD,810 E 103RD ST,8,PULLMAN,41.708544,-87.602111,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
228,GATELY (JAMES),244,0244-05,North Locker Building,stadium,STADIUM,,ACTIVE,,,,CPD,810 E 103RD ST,8,PULLMAN,41.708993,-87.603206,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
229,GILL (JOSEPH),364,0364-01,Gill Park Fieldhouse,field_house,FIELDHOUSE A1,A1,ACTIVE,1974,3,46120,CPD,825 W SHERIDAN RD,46,LAKE VIEW,41.952373,-87.650598,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
230,GOMPERS (SAMUEL),40,0040-01,Maintenance Building,other,MAINTENANCE,,ACTIVE,,,,CPD,,39,NORTH PARK,41.976024,-87.734486,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
231,GOMPERS (SAMUEL),40,0040-02,Gompers Park Fieldhouse,field_house,FIELDHOUSE A4,A4,ACTIVE,1932,2,15563,CPD,4222 W FOSTER AVE,39,NORTH PARK,41.975734,-87.734379,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
232,GOMPERS (SAMUEL),40,0040-03,Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,,39,NORTH PARK,41.973749,-87.728637,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
233,GRAND CROSSING,15,0015-01,Grand Crossing Fieldhouse,field_house,FIELDHOUSE A1,A1,ACTIVE,1916,2,40283,CPD,7655 S INGLESIDE AVE,8,GREATER GRAND CROSSING,41.755661,-87.600465,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
234,GRAND CROSSING,15,0015-03,Service Yard,other,MAINTENANCE,,ACTIVE,,,,CPD,,8,GREATER GRAND CROSSING,41.756625,-87.600361,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
