objectid,park,cpd_bldg_name,match_quality,bldg_lat,bldg_lon,offset_m,edge_m,bldg_id,bldg_address,bldg_name,bldg_stories,footprint_area_sqft,candidates_in_range,provenance,source
14,COLUMBUS (CHRISTOPHER),Columbus Park Refectory,address_exact,41.876482,-87.768921,32.9,0,363161,5701 W JACKSON BLVD,,0,16785.9,3,sourced,socrata_syp8-uezg@2026-09-14
15,HORNER (HENRY),Horner Park Fieldhouse,address_exact,41.960564,-87.697696,2.9,0,130172,2741-2757 W MONTROSE AVE,,0,17526.2,43,sourced,socrata_syp8-uezg@2026-09-14
16,PASTEUR (LOUIS),Pasteur Park Fieldhouse,address_exact,41.787847,-87.731698,0.8,0,506081,5825 S KOSTNER AVE,,0,1394.2,74,sourced,socrata_syp8-uezg@2026-09-14
17,BEVERLY,Beverly Park Fieldhouse,containing,41.708188,-87.683668,3.7,0,729464,,BEVERLY PARK,0,1450.1,81,sourced,socrata_syp8-uezg@2026-09-14
18,COLE (NAT KING),Cole Park Fieldhouse,address_exact,41.739828,-87.615426,0.7,0,655688,8500 S DR MARTIN LUTHER KING JR DR,,1,2291.5,113,sourced,socrata_syp8-uezg@2026-09-14
19,"KING (MARTIN LUTHER, JR.)",King Family Entertainment Center,containing,41.755684,-87.654322,19.2,0,838170,7600 S RACINE AVE,,0,37631.6,41,sourced,socrata_syp8-uezg@2026-09-14
20,BRADLEY (JOSEPHINE),Bradley Park Fieldhouse,address_exact,41.718054,-87.564347,0.9,0,706249,9727-9729 S YATES AVE,,0,2145.6,167,sourced,socrata_syp8-uezg@2026-09-14
21,KENWOOD COMM.,Kenwood Park Fieldhouse,containing,41.805623,-87.593332,1.3,0,451037,,,0,1258.5,44,sourced,socrata_syp8-uezg@2026-09-14
22,BARRETT (JOHN),Barrett Park Fieldhouse,address_exact,41.852428,-87.676314,0.8,0,386482,2008 W CERMAK RD,,1,1360.4,232,sourced,socrata_syp8-uezg@2026-09-14
23,GROSS (THEODORE),Gross Park Fieldhouse,address_exact,41.968687,-87.696668,0.6,0,104369,2708 W LAWRENCE AVE,,1,1276.5,128,sourced,socrata_syp8-uezg@2026-09-14
24,KEDVALE,Kedvale Park Fieldhouse,address_exact,41.906376,-87.730434,0.8,0,316472,4134 W HIRSCH ST,,1,2626.1,134,sourced,socrata_syp8-uezg@2026-09-14
